title,score,categories,country,duration,release_date
闻香识女人 - Scent of a Woman,8.9,剧情,美国,157 分钟,1992-12-23
末代皇帝 - The Last Emperor,8.9,剧情/传记/历史,英国、意大利、中国大陆、法国、美国,163 分钟,1987-10-23
风之谷 - 風の谷のナウシカ,8.9,动画/奇幻/冒险,日本,117 分钟,
大话西游之月光宝盒 - A Chinese Odyssey,8.9,喜剧/爱情/奇幻/古装,中国香港、中国大陆,87 分钟,2014-10-24
放牛班的春天 - Les choristes,8.9,剧情/音乐,法国、德国、瑞士,97 分钟,2004-10-16
当幸福来敲门 - The Pursuit of Happyness,8.9,剧情/家庭/传记,美国,117 分钟,2008-01-17
幽灵公主 - もののけ姫,8.9,动画/奇幻/冒险,日本,134 分钟,1998-05-01
十二怒汉 - 12 Angry Men,8.9,剧情,美国,96 分钟,1957-04-13
搏击俱乐部 - Fight Club,8.9,剧情/动作/悬疑/惊悚,美国、德国,139 分钟,1999-09-10
疯狂原始人 - The Croods,8.9,喜剧/动画/冒险,美国,98 分钟,2013-04-20
阿凡达 - Avatar,8.9,动作/科幻/冒险,美国、英国,162 分钟,2010-01-04
哈尔的移动城堡 - ハウルの動く城,8.9,动画/奇幻/冒险,日本,119 分钟,2004-09-05
盗梦空间 - Inception,8.9,剧情/科幻/悬疑/冒险,美国、英国,148 分钟,2010-09-01
忠犬八公的故事 - Hachi: A Dog's Tale,8.9,剧情,美国、英国,93 分钟,2009-06-13
拯救大兵瑞恩 - Saving Private Ryan,8.9,剧情/历史/战争,美国,169 分钟,1998-11-13
活着 - To Live,9.0,剧情/家庭/历史,中国大陆、中国香港,132 分钟,1994-05-17
机器人总动员 - WALL·E,9.0,喜剧/科幻/动画,美国,98 分钟,2008-06-27
天堂电影院 - Nuovo Cinema Paradiso,9.0,剧情/爱情,意大利、法国,155 分钟,1988-11-17
指环王2：双塔奇兵 - The Lord of the Rings: The Two Towers,9.0,剧情/动作/奇幻/冒险,美国、新西兰,179 分钟,2003-04-25
指环王1：护戒使者 - The Lord of the Rings: The Fellowship of the Ring,9.0,剧情/动作/奇幻/冒险,新西兰、美国,178 分钟,2002-04-04
射雕英雄传之东成西就 - The Eagle Shooting Heroes,9.0,喜剧/奇幻/武侠/古装,中国香港,113 分钟,1993-02-05
蝙蝠侠：黑暗骑士 - The Dark Knight,9.0,剧情/动作/科幻/惊悚/犯罪,美国、英国,152 分钟,2008-07-14
